"COL0","COL1"
"35201567",4642.90
"35201568",6106.60
"35201569",3850.20
"35201570",5421.10
"35201571",3892.10
"35201572",2871.30
"35201573",13494.80
"35201574",5264.40
"35201575",6627.10
"35201576",1595.50
"35201577",4177.60
"35201578",4513.20
"35201579",10845.10
"35201580",6586.70
"35201581",6762.30
"35201582",1125.50
"35201583",1741.40
"35201584",4881.20
"35201585",5005.30
"35201586",5673.60
"35201587",2660.30
"35201588",6406.70
"35201589",4751.70
"35201590",693.00
"35201591",5299.10
"35201592",3961.40
"35201593",854.70
"35201594",4590.20
"35201595",1134.40
"35201596",4623.40
"35201597",1209.80
"35201598",3245.30
"35201599",4230.50
"35201600",2254.40
"35201601",3407.00
"35201602",3225.30
"35201603",3728.70
"35201604",3859.80
"35201605",4002.10
"35201607",2763.20
"35201608",3799.30
"35201609",3133.90
"35201610",3052.10
"35201611",2679.90
"35201612",3432.20
"35201613",7197.10
"35201614",4416.70
"35201615",3312.10
"35201616",3839.20
"35201617",3188.20
"35201620",7554.30
"35201621",8254.80
"35201622",3562.50
"35201623",11655.10
"35201624",3762.00
"35201625",2638.80
"35201626",3084.90
"35201627",3665.40
"35201629",3695.90
"35201630",4373.10
"35201631",3253.10
"35201632",3791.10
"35201634",3158.80
"35201635",3504.70
"35201636",3530.00
"35201641",7276.60
"35201647",3072.20
"35201648",3204.90
"35201649",3110.40
"35201650",3551.30
"35201652",2178.10
"35201653",2185.90
"35201654",2963.40
"35201656",3197.00
"35201657",2191.70
"35201658",2958.90
"35201659",3528.20
"35201660",3440.30
"35201661",3851.90
"35201662",2141.70
"35201663",990.80
"35201664",1575.30
"35201665",693.60
"35201666",2600.80
"35201667",1784.80
"35201670",2433.50
"35201672",6944.10
"35201673",5286.50
"35201674",3191.30
"35201675",5045.00
"35201676",3273.70
"35201690",3648.20
"35201691",916.20
"35201692",2901.00
"35201693",2663.10
"35201694",2897.40
"35201695",9888.50
"35201696",1826.70
"35201697",2578.50
"35201698",6413.60
"35201699",1949.00
"35201700",2521.40
"35201701",1630.30
"35201702",2900.90
"35201703",2466.60
"35201704",1653.40
"35201705",3200.30
"35201706",2155.60
"35201707",1526.50
"35201708",2568.20
"35201709",3090.90
"35201710",2827.50
"35201711",1449.10
"35201712",2769.50
"35201713",1970.60
"35201714",9077.60
"35201717",4464.40
"35201718",2910.90
"35201719",2371.50
"35201720",2689.80
"35201721",7518.20
"35201722",10672.20
"35201723",8152.40
"35201724",3821.50
"35201725",2860.50
"35201726",3671.90
"35201728",18433.90
"35201730",3296.30
"35201731",1608.60
"35201732",4147.80
"35201734",3220.10
"35201735",9877.60
"35201736",21911.60
"35201737",4371.20
"35201738",2704.90
"35201739",2822.90
"35201740",3290.80
"35201741",2940.50
"35201744",9872.30
"35201748",14429.00
"35201749",2776.30
"35201750",2394.40
"35201751",4223.20
"35201752",3490.20
"35201753",2001.60
"35201754",3778.10
"35201755",2970.10
"35201756",3851.90
"35201757",3440.60
"35201758",747.60
"35201759",3244.00
"35201760",4682.20
"35201761",6350.20
"35201762",293.70
"35201779",5237.50
"35201781",3646.20
"35201782",5593.20
"35201783",5590.80
"35201784",9098.40
"35201785",7327.80
"35201786",3477.20
"35201787",2751.40
"35201788",2117.30
"35201789",9069.10
"35201790",4986.60
"35201791",4053.00
"35201792",3037.30
"35201793",2357.30
"35201802",2880.90
"35201803",2818.40
"35201804",3506.30
"35201805",3638.40
"35201806",2200.90
"35201807",2448.10
"35201816",2236.80
"35201817",1075.10
"35201818",1607.40
"35201819",4145.10
"35201820",3878.60
"35201821",5006.10
"35201822",5812.80
"35201823",2708.60
"35201824",3105.40
"35201825",1984.80
"35201826",4392.40
"35201827",3469.20
"35201828",4826.80
"35201829",3252.40
"35201830",3551.20
"35201831",2983.70
"35201832",4915.30
"35201833",4708.90
"35201834",3205.80
"35201835",6391.70
"35201838",4231.10
"35201839",4613.10
"35201840",503.10
"35201841",5274.00
"35201842",4185.90
"35201843",5236.60
"35201844",3950.60
"35201845",3288.90
"35201846",1652.20
"35201847",4091.40
"35201848",4494.80
"35201849",10557.90
"35201850",4107.00
"35201851",4351.50
"35201852",919.20
"35201853",12156.20
"35201854",5079.10
"35201855",4527.80
"35201856",5806.60
"35201857",13547.20
"35201858",4990.30
"35201859",3393.90
"35201860",2140.80
"35201861",3759.90
"35201862",3486.00
"35201863",2574.20
"35201864",8360.20
"35201868",1831.30
"35201869",5798.90
"35201872",5198.30
"35201874",9758.10
"35201875",11729.40
"35201876",15624.40
"35201877",3491.20
"35201879",5212.60
"35201880",1740.50
"35201881",5362.10
"35201882",2947.30
"35201883",9317.60
"35201884",6923.10
"35201885",6179.60
"35201886",4443.60
"35201887",8292.20
"35201888",3258.90
"35201889",1877.90
"35201890",181.90
"35201892",18221.80
"35201893",5037.70
"35201894",8025.20
"35201895",1740.40
"35201896",5709.90
"35201900",292.80
"35201901",6801.30
"35201902",11971.80
"35201903",4502.20
"35201904",5702.20
"35201905",4508.20
"35201906",3060.50
"35201907",3711.30
"35201908",4133.20
"35201909",1283.90
